,Offense,Rate
593,Fleeing or Attempting to Elude Officer Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/03/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Court Appointed 061115 Supreme Court No: Rep. Status: Phone Number(s): 267-414-4762 267-414-4762 Address: Active (Phone) (Phone) 1420 Walnut St Ste 911 Philadelphia,1
594,Admin Etc Of Cont Subst By Pract,1
595,Int Poss Contr Subst By Per Not Reg Use/Poss Of Drug Paraph,1
596,Illegal Park Stand Double Careless Driving Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 04/20/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
597,Conspiracy Unauth Use Motor/Other Vehicles Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/03/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active E-Filing Judge Filed By ATTORNEY INFORMATION ENTRIES,1
598,Assault On Sports Official,1
599,Property,1
600,Obstructing Emergency Services,1
601,Smell/Inhale Toxic Releasing Substances,1
602,Tyliek A. Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Filed By Stack,1
603,Violations Concerning Licenses - Exh. False Id.,1
604,Criminal Attempt - DUI: Gen Imp/Inc of Driving Safely - 1st Off,1
605,Aggravated Assault - Victim Less Than 6 and Defendant 18 or older,1
606,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 06/13/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
607,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Poss Instrument Of Crime W/Int Criminal Mischief Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/09/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court 02/24/2020 Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court F2 F2 F2 F2,1
608,Fail To Yield Right Of Way,1
609,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Simple Assault,1
610,Firearms Not To Be Carried W/O License Carry Firearms Public In Phila Terroristic Threats W/ Int To Terrorize Another Simple Assault Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/02/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court 02/20/2020 Dismissed - LOE Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court Dismissed - LOE F2 F1 F2 F3 F2 F1 F2 F3 F1,1
611,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 03/05/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
612,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Criminal Mischief,1
613,Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/03/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Court Appointed 061115 Supreme Court No: Rep. Status: Phone Number(s): 267-414-4762 267-414-4762 Address: Active (Phone) (Phone) 1420 Walnut St Ste 911 Philadelphia,1
614,Criminal Use Of Communication Facility Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances,1
615,Criminal Solicitation - Abuse Of Corpse,1
616,False Imprisonment of Minor/Not Parent,1
617,Submit Claim Or Refer Improp Serv,1
618,Criminal Attempt - Tamper With/Fabricate Physical Evidence,1
619,Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing,1
620,Int Poss Contr Subst By Per Not Reg Use/Poss Of Drug Paraph Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/23/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
621,PA 19114-5337 Representing: Bernard,1
622,Theft By Unlaw Taking-Movable Prop Corruption Of Minors Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/02/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Wayne R. Maynard Court Appointed 049550 Supreme Court No: Rep. Status: Phone Number(s): 215-569-2525 Address: Active (Phone) 100 S Broad St Ste 1331 Philadelphia,1
623,Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Strangulation - Applying Pressure to Throat or Neck Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 03/05/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
624,Limitations on Driving on Left Side of Road,1
625,False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another Harassment - Subject Other to Physical Contact Disposition Date Offense Disposition Sentence Date,1
626,Rape Unconscious Victim,1
627,Dec Bus Pract - Sale Less Than Quant,1
628,Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/04/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active E-Filing Judge Filed By ATTORNEY INFORMATION ENTRIES,1
629,Viol Use Limited Access Hwy,1
630,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 06/14/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
631,Recklessly Endangering Another Person Criminal Mischief Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/01/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
632,PA 19110 Representing: Tabor,1
633,Bilal Filed By ATTORNEY INFORMATION ENTRIES,1
634,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 07/05/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
635,Unknown Statute Unknown Statute,1
636,PA 19063 Representing: TAYLOR,1
637,Conspiracy - Criminal Use Of Communication Facility,1
638,PA 19102 Filed By Stack,1
639,PA 18966 Representing: Khamidov,1
640,Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap,1
641,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Simple Assault Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 03/02/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
642,Unlawful Contact With Minor - Sexual Offenses Statutory Sexual Assault: 8-11 Years Older Sexual Assault Endangering Welfare of Children - Parent/Guardian/Other Commits Offense Corruption Of Minors - Defendant Age 18 or Above Indecent Assault Person Less than 13 Years of Age Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 07/24/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
643,Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child,1
644,Carrying Loaded Weapon Duties At Stop Sign Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/25/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
645,PA 19102 Representing: Streeter,1
646,Turning Movements And Required Signals Careless Driving,1
647,photograph,1
648,Int Poss Contr Subst By Per Not Reg Possession Of Firearm Prohibited,1
649,Int Poss Contr Subst By Per Not Reg Carry Firearms Public In Phila Poss Instrument Of Crime W/Int,1
650,Sale Of Controlled Substance,1
651,Christa Filed By Stack,1
652,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/01/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By E-Filing Judge ATTORNEY INFORMATION ENTRIES,1
653,PA 19150-3608 Representing: Elliott,1
654,Forgery-Alter Writing,1
655,Criminal Solicitation - Tamper With/Fabricate Physical Evidence,1
656,Duty of Driver in Emergency Response Areas - Pass in Lane Not Adjacent to Area,1
657,Recklessly Endangering Another Person Disorderly Conduct Engage In Fighting Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/10/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Magistrate Filed By ATTORNEY INFORMATION ENTRIES,1
658,LAWRENCE Filed By ATTORNEY INFORMATION ENTRIES,1
659,Simple Assault Recklessly Endangering Another Person Criminal Mischief Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/25/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court F1 F1 F1 F1 02/10/2020,1
660,IDSI Threat Forcible Compulsion,1
661,"""Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information False/Fraud Med Assist Claim Submit Claim Serv Not Rendd To Pt Submit Claim W/False Info Submit Claim Serv Not Rendd By Prov Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 07/23/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court""",1
662,Int Poss Contr Subst By Per Not Reg Conspiracy,1
663,IDSI Person Unconscious,1
664,PA 19107 Representing: THORNE,1
665,Prohib. On Expenditures for Emission Inspection,1
666,George Filed By ATTORNEY INFORMATION ENTRIES,1
667,Lavette Filed By ATTORNEY INFORMATION ENTRIES,1
668,Poss Instrument Of Crime W/Int Simple Assault,1
669,Turning Movements And Required Signals Too Slow For Conditions Careless Driving Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/25/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
670,Steven 07/10/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Private 040350 Active Supreme Court No: Rep. Status: Phone Number(s): 717-972-1500 Office) Address: Representing: Lopez,1
671,Criminal Mischief Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 05/20/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
672,Too Slow For Conditions Careless Driving,1
673,Agg. Ind. Assault - Complainant is Unconscious or Unaware that Penetration is Occurring,1
674,Fail To Yield Right Of Way To Ped,1
675,Injure/Tamper Fire Apparatus,1
676,Make Repairs/Sell/Etc Offens Weap Carrying Loaded Weapon,1
677,Everton Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court ATTORNEY INFORMATION ENTRIES,1
678,Simple Assault Recklessly Endangering Another Person Harassment - Subject Other to Physical Contact,1
679,Firearms Not To Be Carried W/O License Int Poss Contr Subst By Per Not Reg Carry Firearms Public In Phila Poss Instrument Of Crime W/Int Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/13/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: David Wesley Cornish Court Appointed 310865 Supreme Court No: Rep. Status: Phone Number(s): 212-444-2039 215-990-8686 Address: Active (Phone) (Mobile) Cornerstone Legal Group LLC 230 S Broad St Fl 17 Philadelphia,1
680,Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap,1
681,Timur Filed By Magistrate ATTORNEY INFORMATION ENTRIES,1
682,Resist Arrest/Other Law Enforce Retail Theft-Take Mdse,1
683,Disregard Traffic Lane (Single) Turning Movements And Required Signals Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/08/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Nino V. Tinari Private 004296 Active Supreme Court No: Rep. Status: Phone Number(s): Address: Tinari,1
684,Exceed Max Speed Lim Estb By 27 MPH,1
685,Criminal Mischief Criminal Mischief Criminal Mischief Criminal Mischief Accident Involv Damage Attended Vehicle/Prop Accident Involv Damage Attended Vehicle/Prop Accident Involv Damage Attended Vehicle/Prop Accident Involv Damage Attended Vehicle/Prop Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Poss Instrument Of Crime W/Int Unauth Use Motor/Other Vehicles Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 03/04/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
686,Use/Poss Of Drug Paraph Poss Instrument Of Crime W/Int Make Repairs/Sell/Etc Offens Weap Carrying Loaded Weapon,1
687,Conspiracy - Fraud Document - Insurance Rate Determ,1
688,Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/20/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
689,Poss Instrument Of Crime W/Int Unauth Use Motor/Other Vehicles Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/26/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
690,Conspiracy - Recklessly Endangering Another Person,1
691,Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Strangulation - Applying Pressure to Throat or Neck,1
692,Theft By Unlaw Taking-Movable Prop Criminal Mischief,1
693,Coerce/Threat To Commit Crime,1
694,Third Degree Murder Of Unborn Child,1
695,PA 19109-1023 Filed By ATTORNEY INFORMATION ENTRIES,1
696,Criminal Attempt - Def Tres Posted,1
697,Use/Poss Of Drug Paraph No Headlights,1
698,Obstruct Admin Law/Other Govt Func Tamper With/Fabricate Physical Evidence Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 04/18/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Robert Marc Gamburg Private 068808 Active Supreme Court No: Rep. Status: Phone Number(s): 215-567-1486 Office) Address: Representing: Mitchell,1
699,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 07/16/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
700,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 05/17/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
701,Steven Filed By ATTORNEY INFORMATION ENTRIES,1
702,PA 19401 Representing: Grabowski,1
703,PA 19102 Representing: Mason,1
704,Aggravated Cruelty to Animals - Causing SBI or Death,1
705,Contempt For Violation of Order or Agreement Terroristic Threats W/ Int To Terrorize Another Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/19/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
706,Dr W/O Light To Avoid Ident Arrest,1
707,Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date Lopez,1
708,Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Resist Arrest/Other Law Enforce Retail Theft-Take Mdse Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/26/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
709,Deal In Proc Unl Act/Intent To Promote Corrupt Organizations Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/15/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Zak Taylor Goldstein Private Supreme Court No: Rep. Status: Phone Number(s): 267-225-2545 484-680-2148 Address: 312128 Active (Phone) (Mobile) Goldstein Mehta LLC 1717 Arch St Ste 320 Philadelphia,1
710,Def Tres Fenced/Enclosed,1
711,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period E-Filing Judge 06/25/2020 Name: Thomas Kenny Private 077611 Active Office) (Office) Supreme Court No: Rep. Status: Phone Number(s): 215-423-5500 215-564-1016 Address: Representing: Oconnor,1
712,Wayne Filed By ATTORNEY INFORMATION ENTRIES,1
713,Receiving Stolen Property Poss Instrument Of Crime W/Int Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/07/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active E-Filing Judge Filed By ATTORNEY INFORMATION ENTRIES,1
714,Crim Tres-Break Into Structure Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/25/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
715,Agg. Ind. Assault - Comp. Less Than 13 Years Old,1
716,Neglect of Animals - Tethering,1
717,PA 19102 Representing: Perez Garcia,1
718,Recklessly Endangering Another Person Unauth Use Motor/Other Vehicles Reckless Driving,1
719,Int Poss Contr Subst By Per Not Reg Carry Firearms Public In Phila False Identification To Law Enforcement Officer Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/24/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Wells,1
720,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/05/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court F1 F1 F1 F1 F3 F1 F1 F1 F1 F3 02/19/2020,1
721,PA 19110 Representing: Richardson,1
722,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date Stack,1
723,Shawn Filed By ATTORNEY INFORMATION ENTRIES,1
724,Simple Assault Recklessly Endangering Another Person False Imprisonment Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 03/24/2020 Proceed to Court 035899 Active Name: W. Fred Harrison Jr. Private Supreme Court No: Rep. Status: Phone Number(s): 215-760-6987 Mobile) Address: Representing: Alston,1
725,Criminal Attempt - Penalties - Sales of Firearms,1
726,Carry Firearms Public In Phila Driv While Oper Priv Susp Or Revoked Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/01/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
